"#","00_IDENTIFICADOR DE L'ALUMNE/A","01_NOM","02_DATA NAIXEMENT","03_RESPONSABLE 1","04_TELÈFON RESP. 1","05_MÒBIL RESP. 1","06_ADREÇA ELECTR. RESP. 1","07_RESPONSABLE 2","08_TELÈFON RESP. 2","09_MÒBIL RESP. 2","10_ADREÇA ELECTR. RESP. 2","11_ADREÇA","12_LOCALITAT","13_MUNICIPI","14_CORREU ELECTRÒNIC","15_ALTRES TELÈFONS","16_CENTRE PROCEDÈNCIA","17_GRUPSCLASSE"
"1","65536635900","Gallardo Valls, Abril","09/11/1999","Nadal Borras, Unai","+34 XXXXXXX","+34 XXXXXXX","abril@mailintaor.com","Gimenez Campos, Ivet","+34 XXXXZZZZ","+34 XXXXLLL","unai@mailintaor.com","c/ de l'aviador Ivet Gimenez Campos","L'Armentera","Albanyà","abril@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","37882200582","Fuentes Romero, Lola","20/11/1990","Bosch Serra, Nil","+34 XXXXXXX","+34 XXXXXXX","lola@mailintaor.com","Badia Lozano, Cristina","+34 XXXXZZZZ","+34 XXXXLLL","nil@mailintaor.com","c/ de l'aviador Cristina Badia Lozano","L'Armentera","Albanyà","lola@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","79778787166","Figueras Valls, Helena","24/01/1990","Viñas Gimenez, Paula","+34 XXXXXXX","+34 XXXXXXX","helena@mailintaor.com","Ramon Carmona, Dídac","+34 XXXXZZZZ","+34 XXXXLLL","paula@mailintaor.com","c/ de l'aviador Dídac Ramon Carmona","L'Armentera","Albanyà","helena@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","51700392537","Farre Aparicio, Álvaro","15/09/1997","Herrera Bosch, Lola","+34 XXXXXXX","+34 XXXXXXX","alvaro@mailintaor.com","Mateo Ribas, Blanca","+34 XXXXZZZZ","+34 XXXXLLL","lola@mailintaor.com","c/ de l'aviador Blanca Mateo Ribas","L'Armentera","Albanyà","alvaro@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","93665503872","Blasco Mesa, Iris","31/03/1998","Pastor Pages, Nerea","+34 XXXXXXX","+34 XXXXXXX","iris@mailintaor.com","Garriga Millan, Lucas","+34 XXXXZZZZ","+34 XXXXLLL","nerea@mailintaor.com","c/ de l'aviador Lucas Garriga Millan","L'Armentera","Albanyà","iris@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","86051638404","Galvez Casals, Arnau","27/01/1998","Andreu Roca, Marc","+34 XXXXXXX","+34 XXXXXXX","arnau@mailintaor.com","Villanueva Carrasco, Miguel","+34 XXXXZZZZ","+34 XXXXLLL","marc@mailintaor.com","c/ de l'aviador Miguel Villanueva Carrasco","L'Armentera","Albanyà","arnau@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","36238783797","Zamora Delgado, Oriol","18/10/1996","Prats Carrera, Ainhoa","+34 XXXXXXX","+34 XXXXXXX","oriol@mailintaor.com","Carrillo Beltran, Ian","+34 XXXXZZZZ","+34 XXXXLLL","ainhoa@mailintaor.com","c/ de l'aviador Ian Carrillo Beltran","L'Armentera","Albanyà","oriol@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","68707794776","Marin Pardo, Eva","24/03/1994","Sabate Oliva, Ian","+34 XXXXXXX","+34 XXXXXXX","eva@mailintaor.com","Esteban Rosell, Clara","+34 XXXXZZZZ","+34 XXXXLLL","ian@mailintaor.com","c/ de l'aviador Clara Esteban Rosell","L'Armentera","Albanyà","eva@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","22387527935","Luna Cortes, Joan","11/06/1994","Ramon Pacheco, Ainhoa","+34 XXXXXXX","+34 XXXXXXX","joan@mailintaor.com","Rojas Marti, Erik","+34 XXXXZZZZ","+34 XXXXLLL","ainhoa@mailintaor.com","c/ de l'aviador Erik Rojas Marti","L'Armentera","Albanyà","joan@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1B"
"1","92814568504","Montes Sabate, Martí","11/08/1993","Silva Galvez, Marina","+34 XXXXXXX","+34 XXXXXXX","marti@mailintaor.com","Carrasco Rios, Salma","+34 XXXXZZZZ","+34 XXXXLLL","marina@mailintaor.com","c/ de l'aviador Salma Carrasco Rios","L'Armentera","Albanyà","marti@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","86224596381","Juan Gimenez, Marc","11/03/1996","Torres Molina, Diego","+34 XXXXXXX","+34 XXXXXXX","marc@mailintaor.com","Singh Egea, Gerard","+34 XXXXZZZZ","+34 XXXXLLL","diego@mailintaor.com","c/ de l'aviador Gerard Singh Egea","L'Armentera","Albanyà","marc@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","34695073666","Valle Serra, Leo","05/09/1997","Escobar Ribera, Ayman","+34 XXXXXXX","+34 XXXXXXX","leo@mailintaor.com","Sabate Gallardo, Ainhoa","+34 XXXXZZZZ","+34 XXXXLLL","ayman@mailintaor.com","c/ de l'aviador Ainhoa Sabate Gallardo","L'Armentera","Albanyà","leo@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","48502982857","Sierra Luna, Izan","27/05/1990","Rovira Ortega, Elsa","+34 XXXXXXX","+34 XXXXXXX","izan@mailintaor.com","Castillo Avila, Martí","+34 XXXXZZZZ","+34 XXXXLLL","elsa@mailintaor.com","c/ de l'aviador Martí Castillo Avila","L'Armentera","Albanyà","izan@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","71685948822","Roca Cabello, Irene","12/04/1991","Morales Carrasco, Roc","+34 XXXXXXX","+34 XXXXXXX","irene@mailintaor.com","Carmona Casals, Ismael","+34 XXXXZZZZ","+34 XXXXLLL","roc@mailintaor.com","c/ de l'aviador Ismael Carmona Casals","L'Armentera","Albanyà","irene@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","46065523766","Ordoñez Dalmau, Pablo","18/10/1999","Arenas Pages, Ian","+34 XXXXXXX","+34 XXXXXXX","pablo@mailintaor.com","Comas Amaya, Ainara","+34 XXXXZZZZ","+34 XXXXLLL","ian@mailintaor.com","c/ de l'aviador Ainara Comas Amaya","L'Armentera","Albanyà","pablo@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","94364979548","Ramon Domingo, David","08/05/1996","Duran Macias, Nerea","+34 XXXXXXX","+34 XXXXXXX","david@mailintaor.com","Viñas Caballero, Jordi","+34 XXXXZZZZ","+34 XXXXLLL","nerea@mailintaor.com","c/ de l'aviador Jordi Viñas Caballero","L'Armentera","Albanyà","david@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","35560585787","Casals Jimenez, Gisela","24/08/1992","Carbonell Vicente, Mario","+34 XXXXXXX","+34 XXXXXXX","gisela@mailintaor.com","Guillen Sanchez, Ainhoa","+34 XXXXZZZZ","+34 XXXXLLL","mario@mailintaor.com","c/ de l'aviador Ainhoa Guillen Sanchez","L'Armentera","Albanyà","gisela@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","80110376990","Piñol Egea, Max","21/04/1997","Prieto Diaz, Noa","+34 XXXXXXX","+34 XXXXXXX","max@mailintaor.com","Carrasco Ramon, Pablo","+34 XXXXZZZZ","+34 XXXXLLL","noa@mailintaor.com","c/ de l'aviador Pablo Carrasco Ramon","L'Armentera","Albanyà","max@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","15094202248","Bertran Arenas, Oriol","11/12/1995","Barrera Valls, Álvaro","+34 XXXXXXX","+34 XXXXXXX","oriol@mailintaor.com","Mesa Alsina, Samuel","+34 XXXXZZZZ","+34 XXXXLLL","alvaro@mailintaor.com","c/ de l'aviador Samuel Mesa Alsina","L'Armentera","Albanyà","oriol@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","50363047359","Bertran Castillo, Pol","27/06/1998","Coll Pujol, Arlet","+34 XXXXXXX","+34 XXXXXXX","pol@mailintaor.com","Alarcon Busquets, Sergio","+34 XXXXZZZZ","+34 XXXXLLL","arlet@mailintaor.com","c/ de l'aviador Sergio Alarcon Busquets","L'Armentera","Albanyà","pol@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","65585185590","Segura Zamora, David","02/08/1998","Alba Reina, Axel","+34 XXXXXXX","+34 XXXXXXX","david@mailintaor.com","Garriga Bertran, Alan","+34 XXXXZZZZ","+34 XXXXLLL","axel@mailintaor.com","c/ de l'aviador Alan Garriga Bertran","L'Armentera","Albanyà","david@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","42385920696","Miguel Palau, Víctor","26/07/1998","Prat Avila, Joel","+34 XXXXXXX","+34 XXXXXXX","victor@mailintaor.com","Castells Planas, Sergi","+34 XXXXZZZZ","+34 XXXXLLL","joel@mailintaor.com","c/ de l'aviador Sergi Castells Planas","L'Armentera","Albanyà","victor@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","38222963734","Cardona Soto, Paula","17/01/1992","Pons Iglesias, Aitana","+34 XXXXXXX","+34 XXXXXXX","paula@mailintaor.com","Viñas Arroyo, Sara","+34 XXXXZZZZ","+34 XXXXLLL","aitana@mailintaor.com","c/ de l'aviador Sara Viñas Arroyo","L'Armentera","Albanyà","paula@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","28598633829","Hidalgo Carbonell, Sergi","28/07/1996","Hurtado Alcaraz, Ayman","+34 XXXXXXX","+34 XXXXXXX","sergi@mailintaor.com","Carrera Plaza, Miguel","+34 XXXXZZZZ","+34 XXXXLLL","ayman@mailintaor.com","c/ de l'aviador Miguel Carrera Plaza","L'Armentera","Albanyà","sergi@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","81048952917","Gracia Sola, Marcos","30/05/1999","Millan Avila, Sergio","+34 XXXXXXX","+34 XXXXXXX","marcos@mailintaor.com","Guerrero Vicente, Pol","+34 XXXXZZZZ","+34 XXXXLLL","sergio@mailintaor.com","c/ de l'aviador Pol Guerrero Vicente","L'Armentera","Albanyà","marcos@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","24124202166","Beltran Castro, Ariadna","02/10/1999","Zamora Sanchez, Pau","+34 XXXXXXX","+34 XXXXXXX","ariadna@mailintaor.com","Bermudez Garrido, Emma","+34 XXXXZZZZ","+34 XXXXLLL","pau@mailintaor.com","c/ de l'aviador Emma Bermudez Garrido","L'Armentera","Albanyà","ariadna@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","88999088959","Farre Casals, Marc","25/06/1998","Alonso Cuenca, Erik","+34 XXXXXXX","+34 XXXXXXX","marc@mailintaor.com","Silva Herrero, Ona","+34 XXXXZZZZ","+34 XXXXLLL","erik@mailintaor.com","c/ de l'aviador Ona Silva Herrero","L'Armentera","Albanyà","marc@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","68675594402","Pereira Alarcon, Alba","03/08/1994","Camps Rivera, Miguel","+34 XXXXXXX","+34 XXXXXXX","alba@mailintaor.com","Bosch Moreno, Marina","+34 XXXXZZZZ","+34 XXXXLLL","miguel@mailintaor.com","c/ de l'aviador Marina Bosch Moreno","L'Armentera","Albanyà","alba@mailintaor.com","+34 XXXXYZZY","La Salle","ESO1C"
"1","48546649860","Franco Caballero, Miguel","27/10/1991","Castro Valero, Laia","+34 XXXXXXX","+34 XXXXXXX","miguel@mailintaor.com","Saez Gil, Martí","+34 XXXXZZZZ","+34 XXXXLLL","laia@mailintaor.com","c/ de l'aviador Martí Saez Gil","L'Armentera","Albanyà","miguel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","59598753624","Manzano Mora, Martí","28/05/1995","Barrera Hernandez, Rayan","+34 XXXXXXX","+34 XXXXXXX","marti@mailintaor.com","Maldonado Font, Aitor","+34 XXXXZZZZ","+34 XXXXLLL","rayan@mailintaor.com","c/ de l'aviador Aitor Maldonado Font","L'Armentera","Albanyà","marti@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","44363435844","Casals Bautista, Adrián","27/11/1993","Navarro Salvador, Guillem","+34 XXXXXXX","+34 XXXXXXX","adrian@mailintaor.com","Martos Murillo, Aleix","+34 XXXXZZZZ","+34 XXXXLLL","guillem@mailintaor.com","c/ de l'aviador Aleix Martos Murillo","L'Armentera","Albanyà","adrian@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","57056857775","Martin Valls, Gerard","30/03/1996","Delgado Oliver, Nora","+34 XXXXXXX","+34 XXXXXXX","gerard@mailintaor.com","Navas Lazaro, Adriana","+34 XXXXZZZZ","+34 XXXXLLL","nora@mailintaor.com","c/ de l'aviador Adriana Navas Lazaro","L'Armentera","Albanyà","gerard@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","52887185476","Carrera Morales, Paula","01/08/1993","Bravo Roca, Bruno","+34 XXXXXXX","+34 XXXXXXX","paula@mailintaor.com","Nuñez Soria, Nerea","+34 XXXXZZZZ","+34 XXXXLLL","bruno@mailintaor.com","c/ de l'aviador Nerea Nuñez Soria","L'Armentera","Albanyà","paula@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","23091664708","Casanova Pujol, Lucía","21/07/1994","Prieto Bonet, Unai","+34 XXXXXXX","+34 XXXXXXX","lucia@mailintaor.com","Bertran Esteve, Miquel","+34 XXXXZZZZ","+34 XXXXLLL","unai@mailintaor.com","c/ de l'aviador Miquel Bertran Esteve","L'Armentera","Albanyà","lucia@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","67040830568","Pozo Oliva, Oriol","22/06/1990","Valls Gallardo, Iris","+34 XXXXXXX","+34 XXXXXXX","oriol@mailintaor.com","Vega Vila, Gisela","+34 XXXXZZZZ","+34 XXXXLLL","iris@mailintaor.com","c/ de l'aviador Gisela Vega Vila","L'Armentera","Albanyà","oriol@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","70535481905","Redondo Herrero, Marwa","12/10/1997","Pascual Cabrera, Guillem","+34 XXXXXXX","+34 XXXXXXX","marwa@mailintaor.com","Cano Bravo, Helena","+34 XXXXZZZZ","+34 XXXXLLL","guillem@mailintaor.com","c/ de l'aviador Helena Cano Bravo","L'Armentera","Albanyà","marwa@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","82855241702","Marco Badia, Jana","29/08/1991","Bosch Domingo, Víctor","+34 XXXXXXX","+34 XXXXXXX","jana@mailintaor.com","Estrada Pereira, Ayman","+34 XXXXZZZZ","+34 XXXXLLL","victor@mailintaor.com","c/ de l'aviador Ayman Estrada Pereira","L'Armentera","Albanyà","jana@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","81541651681","Coll Hernandez, Carlota","03/08/1998","Murillo Escudero, Berta","+34 XXXXXXX","+34 XXXXXXX","carlota@mailintaor.com","Ribera Suarez, Judit","+34 XXXXZZZZ","+34 XXXXLLL","berta@mailintaor.com","c/ de l'aviador Judit Ribera Suarez","L'Armentera","Albanyà","carlota@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","59577234397","Bautista Prat, Jordi","05/08/1996","Villanueva Lara, Daniela","+34 XXXXXXX","+34 XXXXXXX","jordi@mailintaor.com","Aguilera Herrero, Martina","+34 XXXXZZZZ","+34 XXXXLLL","daniela@mailintaor.com","c/ de l'aviador Martina Aguilera Herrero","L'Armentera","Albanyà","jordi@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","47558818253","Martinez Sanchez, Mar","17/08/1990","Sierra Sabate, Aitor","+34 XXXXXXX","+34 XXXXXXX","mar@mailintaor.com","Marco Gallardo, Eloi","+34 XXXXZZZZ","+34 XXXXLLL","aitor@mailintaor.com","c/ de l'aviador Eloi Marco Gallardo","L'Armentera","Albanyà","mar@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","68902669140","Egea Fernandez, Miguel","11/02/1999","Aguilera Dalmau, Marcos","+34 XXXXXXX","+34 XXXXXXX","miguel@mailintaor.com","Robles Peña, Javier","+34 XXXXZZZZ","+34 XXXXLLL","marcos@mailintaor.com","c/ de l'aviador Javier Robles Peña","L'Armentera","Albanyà","miguel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2A"
"1","78973181826","Reyes Miralles, Adrià","13/09/1992","Rubio Guerra, Carla","+34 XXXXXXX","+34 XXXXXXX","adria@mailintaor.com","Merino Codina, Lucas","+34 XXXXZZZZ","+34 XXXXLLL","carla@mailintaor.com","c/ de l'aviador Lucas Merino Codina","L'Armentera","Albanyà","adria@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2B"
"1","29236066223","Herrera Dominguez, Carlos","12/04/1998","Barrera Montero, Ismael","+34 XXXXXXX","+34 XXXXXXX","carlos@mailintaor.com","Vicente Cuevas, Jana","+34 XXXXZZZZ","+34 XXXXLLL","ismael@mailintaor.com","c/ de l'aviador Jana Vicente Cuevas","L'Armentera","Albanyà","carlos@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2B"
"1","71600898277","Ramirez Millan, Samuel","23/06/1993","Gomez Piñol, Quim","+34 XXXXXXX","+34 XXXXXXX","samuel@mailintaor.com","Santiago Luque, Mariona","+34 XXXXZZZZ","+34 XXXXLLL","quim@mailintaor.com","c/ de l'aviador Mariona Santiago Luque","L'Armentera","Albanyà","samuel@mailintaor.com","+34 XXXXYZZY","La Salle","ESO2B"
